Назва,"усього
Одеська область, 14
м.Одеса,186442
м.Балта,–
м.Білгород–Дністровський,2039
м.Біляївка,2344
м.Ізмаїл,4217
м.Чорноморськ,4845
м.Подільськ,867
м.Теплодар,582
м.Южне,323
Ананьївський,к
Арцизький,к
Балтський,578
Білгород–Дністровський,2277
Біляївський,16594
Березівський,–
Болградський,к
Великомихайлівський,–
Іванівський,к
Ізмаїльський,530
Кілійський,3188
Кодимський,к
Лиманський,83382
Подільський,280
Окнянський,к
Любашівський,–
Миколаївський,–
Овідіопольський,166989
Роздільнянський,1345
Ренійський,к
Савранський,–
Саратський,685
Тарутинський,к
Татарбунарський,1267
Захарівський,–
Ширяївський,–
